iter	Passed	Remaining
0	139	139420
1	143	71699
2	149	49563
3	153	38298
4	158	31511
5	163	27074
6	167	23800
7	172	21367
8	175	19371
9	179	17774
10	183	16461
11	186	15392
12	190	14474
13	194	13666
14	197	12966
15	201	12388
16	205	11855
17	208	11389
18	212	10970
19	216	10586
20	219	10238
21	223	9923
22	226	9639
23	230	9383
24	234	9136
25	237	8908
26	241	8702
27	245	8508
28	248	8334
29	252	8161
30	256	8004
31	259	7853
32	263	7715
33	267	7588
34	270	7464
35	274	7350
36	278	7237
37	281	7136
38	285	7038
39	289	6938
40	293	6853
41	296	6771
42	300	6696
43	304	6626
44	309	6566
45	314	6516
46	319	6471
47	323	6415
48	326	6335
49	329	6259
50	331	6174
51	334	6092
52	336	6012
53	338	5928
54	339	5840
55	341	5757
56	343	5680
57	344	5602
58	346	5524
59	347	5445
60	348	5368
61	350	5295
62	351	5222
63	352	5152
64	353	5086
65	354	5021
66	356	4957
67	356	4888
68	357	4829
69	359	4773
70	360	4717
71	361	4664
72	363	4610
73	364	4558
74	365	4507
75	366	4457
76	367	4410
77	369	4363
78	370	4316
79	371	4272
80	372	4229
81	374	4187
82	375	4145
83	376	4105
84	377	4063
85	378	4024
86	379	3983
87	380	3946
88	382	3910
89	383	3875
90	384	3841
91	385	3807
92	387	3774
93	388	3742
94	389	3709
95	390	3679
96	392	3650
97	393	3620
98	394	3590
99	395	3561
100	396	3531
101	397	3498
102	398	3470
103	399	3441
104	400	3414
105	401	3388
106	402	3361
107	403	3335
108	404	3310
109	405	3284
110	407	3260
111	408	3236
112	409	3214
113	410	3192
114	411	3169
115	413	3147
116	414	3129
117	416	3111
118	417	3091
119	418	3071
120	419	3050
121	420	3029
122	421	3005
123	422	2985
124	423	2966
125	424	2947
126	426	2928
127	426	2907
128	427	2888
129	429	2871
130	430	2853
131	431	2835
132	432	2818
133	433	2801
134	434	2783
135	435	2767
136	436	2751
137	437	2733
138	438	2718
139	439	2702
140	441	2686
141	442	2671
142	443	2655
143	444	2641
144	445	2626
145	446	2612
146	447	2597
147	448	2583
148	449	2569
149	451	2556
150	452	2542
151	453	2528
152	454	2514
153	455	2501
154	456	2487
155	457	2474
156	458	2462
157	459	2449
158	460	2437
159	461	2425
160	462	2412
161	464	2400
162	465	2389
163	466	2377
164	467	2365
165	468	2353
166	469	2342
167	470	2331
168	471	2319
169	472	2309
170	474	2297
171	475	2287
172	476	2276
173	477	2265
174	478	2255
175	479	2244
176	480	2234
177	481	2224
178	482	2214
179	483	2203
180	484	2191
181	485	2181
182	486	2171
183	487	2162
184	488	2152
185	489	2143
186	490	2134
187	492	2125
188	493	2115
189	494	2106
190	495	2097
191	496	2088
192	497	2080
193	498	2071
194	499	2062
195	500	2054
196	502	2046
197	503	2038
198	504	2029
199	505	2021
200	506	2013
201	507	2005
202	508	1997
203	509	1989
204	510	1981
205	511	1973
206	512	1965
207	514	1957
208	516	1953
209	520	1957
210	524	1962
211	528	1965
212	532	1968
213	536	1971
214	540	1974
215	544	1978
216	548	1979
217	552	1980
218	555	1982
219	559	1983
220	563	1984
221	566	1986
222	570	1987
223	574	1988
224	577	1990
225	581	1991
226	585	1993
227	588	1993
228	592	1994
229	596	1995
230	599	1997
231	603	1998
232	607	1999
233	611	2001
234	615	2002
235	619	2003
236	622	2004
237	625	2004
238	629	2004
239	633	2004
240	636	2005
241	639	2002
242	641	1999
243	644	1996
244	646	1992
245	648	1987
246	650	1983
247	652	1978
248	654	1972
249	655	1966
250	657	1962
251	659	1957
252	661	1952
253	662	1945
254	663	1938
255	664	1932
256	666	1925
257	667	1919
258	668	1912
259	669	1906
260	670	1899
261	672	1893
262	673	1886
263	674	1880
264	675	1874
265	676	1867
266	678	1861
267	679	1855
268	680	1848
269	681	1842
270	682	1836
271	683	1830
272	685	1824
273	686	1819
274	688	1814
275	689	1809
276	691	1803
277	692	1798
278	693	1792
279	694	1786
280	695	1780
281	696	1774
282	698	1768
283	699	1763
284	700	1757
285	701	1752
286	703	1746
287	704	1741
288	705	1735
289	706	1729
290	707	1724
291	709	1719
292	710	1714
293	711	1708
294	712	1702
295	713	1697
296	714	1691
297	715	1686
298	716	1680
299	717	1675
300	719	1669
301	720	1665
302	721	1659
303	722	1654
304	723	1649
305	725	1644
306	726	1639
307	727	1634
308	728	1629
309	729	1624
310	730	1619
311	731	1613
312	733	1608
313	734	1603
314	735	1598
315	736	1593
316	737	1589
317	738	1584
318	739	1579
319	741	1574
320	742	1569
321	743	1565
322	744	1560
323	745	1555
324	746	1550
325	747	1545
326	748	1540
327	749	1536
328	750	1531
329	751	1526
330	753	1522
331	754	1517
332	755	1512
333	756	1507
334	757	1503
335	758	1498
336	759	1494
337	760	1490
338	761	1485
339	762	1480
340	763	1476
341	764	1471
342	765	1467
343	767	1462
344	768	1458
345	769	1453
346	770	1449
347	771	1445
348	772	1440
349	773	1436
350	774	1432
351	775	1427
352	776	1423
353	777	1419
354	778	1414
355	779	1410
356	780	1406
357	781	1402
358	783	1398
359	784	1393
360	785	1389
361	786	1386
362	787	1381
363	788	1377
364	789	1373
365	790	1369
366	791	1365
367	792	1361
368	794	1357
369	795	1354
370	796	1350
371	797	1345
372	798	1342
373	799	1338
374	800	1334
375	801	1330
376	802	1326
377	803	1322
378	804	1318
379	806	1315
380	807	1311
381	808	1307
382	809	1303
383	810	1299
384	811	1295
385	812	1292
386	813	1288
387	814	1284
388	815	1281
389	817	1277
390	818	1274
391	819	1270
392	820	1267
393	821	1263
394	822	1259
395	823	1256
396	824	1252
397	825	1249
398	826	1245
399	827	1241
400	828	1238
401	830	1234
402	831	1231
403	832	1228
404	833	1224
405	834	1220
406	835	1217
407	836	1213
408	837	1210
409	838	1207
410	839	1203
411	840	1200
412	842	1196
413	843	1193
414	844	1189
415	845	1186
416	846	1183
417	847	1179
418	848	1176
419	849	1173
420	850	1169
421	851	1166
422	852	1163
423	853	1159
424	854	1156
425	855	1152
426	856	1149
427	857	1146
428	859	1143
429	860	1140
430	861	1136
431	862	1133
432	863	1130
433	864	1127
434	865	1124
435	867	1121
436	868	1118
437	869	1116
438	871	1113
439	872	1110
440	873	1107
441	875	1104
442	876	1101
443	877	1099
444	878	1096
445	880	1093
446	881	1090
447	882	1087
448	883	1084
449	885	1081
450	886	1079
451	887	1076
452	888	1073
453	890	1070
454	891	1067
455	892	1064
456	893	1061
457	894	1059
458	896	1056
459	897	1053
460	898	1051
461	900	1048
462	901	1045
463	902	1042
464	903	1039
465	904	1036
466	905	1033
467	907	1031
468	908	1028
469	909	1025
470	910	1022
471	911	1019
472	912	1016
473	913	1014
474	914	1011
475	916	1008
476	917	1005
477	918	1003
478	919	1000
479	921	997
480	922	995
481	923	992
482	925	990
483	926	987
484	927	985
485	929	982
486	930	980
487	931	977
488	932	974
489	933	972
490	935	969
491	936	966
492	937	964
493	938	961
494	940	959
495	941	956
496	943	954
497	944	952
498	945	949
499	947	947
500	948	944
501	949	942
502	951	939
