iter	Passed	Remaining
0	157	157216
1	163	81695
2	168	55895
3	172	42850
4	177	35281
5	182	30284
6	186	26399
7	190	23600
8	192	21238
9	194	19304
10	196	17683
11	198	16321
12	199	15163
13	201	14177
14	202	13309
15	204	12553
16	205	11893
17	206	11291
18	208	10747
19	209	10253
20	210	9805
21	211	9393
22	212	9016
23	213	8670
24	214	8350
25	215	8057
26	215	7782
27	216	7530
28	218	7301
29	219	7090
30	220	6882
31	220	6682
32	221	6500
33	222	6327
34	223	6163
35	224	6006
36	225	5858
37	226	5721
38	226	5592
39	227	5468
40	228	5351
41	229	5238
42	230	5132
43	231	5030
44	232	4933
45	233	4845
46	235	4765
47	235	4678
48	236	4596
49	237	4517
50	238	4440
51	239	4368
52	240	4298
53	241	4228
54	242	4162
55	243	4099
56	244	4038
57	245	3979
58	245	3923
59	246	3868
60	247	3816
61	249	3768
62	250	3719
63	250	3668
64	251	3621
65	252	3575
66	253	3530
67	254	3486
68	255	3445
69	256	3404
70	257	3364
71	258	3325
72	258	3288
73	259	3250
74	260	3214
75	261	3181
76	262	3148
77	263	3117
78	264	3085
79	265	3053
80	266	3022
81	267	2991
82	267	2957
83	268	2927
84	269	2897
85	269	2868
86	270	2840
87	271	2812
88	272	2784
89	272	2758
90	273	2732
91	274	2706
92	274	2681
93	275	2657
94	276	2634
95	277	2613
96	278	2593
97	279	2571
98	280	2549
99	280	2527
100	281	2506
101	282	2485
102	283	2465
103	283	2446
104	284	2427
105	285	2407
106	286	2389
107	287	2370
108	287	2352
109	288	2334
110	289	2317
111	290	2299
112	290	2282
113	291	2266
114	292	2251
115	293	2236
116	294	2220
117	295	2205
118	295	2189
119	296	2174
120	297	2160
121	297	2144
122	298	2130
123	299	2116
124	300	2102
125	301	2088
126	301	2073
127	302	2060
128	303	2047
129	304	2034
130	304	2021
131	305	2008
132	306	1996
133	307	1985
134	308	1974
135	309	1963
136	309	1952
137	310	1941
138	311	1930
139	312	1919
140	313	1908
141	313	1895
142	314	1884
143	315	1873
144	315	1862
145	316	1851
146	317	1841
147	318	1830
148	318	1820
149	319	1810
150	320	1800
151	321	1791
152	322	1782
153	322	1774
154	323	1765
155	324	1756
156	325	1747
157	326	1738
158	326	1729
159	327	1720
160	328	1710
161	328	1701
162	329	1692
163	330	1684
164	331	1676
165	331	1667
166	332	1659
167	333	1651
168	334	1643
169	334	1635
170	335	1627
171	336	1621
172	337	1614
173	338	1607
174	339	1600
175	340	1593
176	341	1586
177	341	1578
178	342	1571
179	343	1564
180	344	1557
181	344	1550
182	345	1543
183	346	1536
184	347	1529
185	348	1523
186	348	1516
187	349	1509
188	350	1503
189	351	1497
190	352	1491
191	353	1485
192	354	1480
193	354	1473
194	355	1467
195	356	1461
196	357	1455
197	357	1449
198	358	1443
199	359	1437
200	360	1431
201	360	1425
202	361	1419
203	362	1413
204	363	1408
205	363	1402
206	364	1396
207	365	1391
208	366	1386
209	367	1381
210	368	1377
211	369	1372
212	369	1366
213	370	1361
214	371	1356
215	372	1350
216	372	1345
217	373	1340
218	374	1335
219	375	1330
220	375	1324
221	376	1320
222	377	1315
223	378	1310
224	378	1305
225	379	1300
226	380	1295
227	381	1290
228	382	1286
229	383	1282
230	383	1277
231	384	1273
232	385	1268
233	386	1264
234	386	1259
235	387	1255
236	388	1250
237	389	1246
238	389	1241
239	390	1237
240	391	1232
241	392	1228
242	392	1223
243	393	1219
244	394	1215
245	395	1211
246	395	1206
247	396	1203
248	397	1199
249	398	1195
250	399	1192
251	400	1188
252	401	1184
253	402	1180
254	402	1176
255	403	1172
256	404	1168
257	405	1164
258	405	1160
259	406	1156
260	407	1153
261	407	1149
262	408	1145
263	409	1141
264	410	1138
265	411	1134
266	412	1131
267	413	1128
268	413	1124
269	414	1120
270	415	1117
271	415	1113
272	416	1109
273	417	1105
274	418	1102
275	418	1099
276	419	1095
277	420	1092
278	421	1088
279	422	1085
280	422	1082
281	423	1078
282	424	1075
283	425	1071
284	426	1069
285	427	1067
286	428	1064
287	429	1062
288	430	1059
289	431	1056
290	432	1053
291	433	1050
292	434	1048
293	435	1045
294	436	1042
295	437	1039
296	437	1036
297	438	1033
298	439	1030
299	440	1027
300	441	1024
301	442	1021
302	443	1019
303	443	1016
304	444	1013
305	445	1010
306	446	1006
307	446	1003
308	447	1000
309	448	997
310	448	994
311	449	991
312	450	988
313	451	985
314	451	982
315	452	979
316	453	976
317	453	973
318	454	970
319	455	967
320	456	965
321	457	962
322	458	960
323	459	957
324	459	955
325	460	952
326	461	949
327	462	946
328	462	944
329	463	941
330	464	938
331	465	935
332	465	933
333	466	930
334	467	927
335	468	925
336	468	922
337	469	919
338	470	917
339	471	914
340	472	912
341	473	911
342	474	908
343	474	905
344	475	903
345	476	900
346	477	898
347	478	895
348	478	893
349	479	890
350	480	887
351	480	885
352	481	882
353	482	880
354	483	877
355	483	875
356	484	873
357	485	871
358	486	869
359	487	867
360	488	864
361	489	862
362	490	859
363	490	857
364	491	855
365	492	852
366	493	850
367	493	848
368	494	845
369	495	843
370	496	841
371	496	838
372	497	836
373	498	834
374	499	831
375	499	829
376	500	827
377	501	825
378	502	823
379	503	821
380	504	819
381	505	817
382	506	816
383	507	814
384	508	812
385	509	810
386	510	808
387	511	806
388	512	804
389	513	802
390	514	800
391	515	798
392	515	796
393	517	795
394	517	793
395	518	791
396	519	789
397	520	787
398	521	785
399	522	783
400	523	781
401	523	779
402	524	777
403	525	775
404	526	773
405	527	771
406	528	769
407	528	767
408	529	765
409	530	763
410	531	762
411	532	760
412	533	758
413	534	756
414	535	754
415	535	752
